ID,dataset,model,noise,noise-args,robust-method,loss-args,eval_loss,eval_accuracy,epochs,batch_size,best-hyperparameters,seed
LNSD-919,breast-cancer,simple-mlp,uniform,0.15,backward,"[[[0.85, 0.15], [0.15, 0.85]]]",-0.8582165241241455,0.9736841917037964,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 46, 'hidden_size_1': 19, 'dropout': 0}",1746.0
LNSD-911,breast-cancer,simple-mlp,uniform,0.1,boot-soft,[],0.2155413031578064,0.9736841917037964,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 48, 'hidden_size_1': 13, 'hidden_size_2': 21, 'dropout': 0}",1746.0
LNSD-908,breast-cancer,simple-mlp,uniform,0.05,backward,"[[[0.95, 0.05], [0.05, 0.95]]]",-0.2923407256603241,0.9736841917037964,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 79, 'hidden_size_1': 93, 'hidden_size_2': 114, 'dropout': 0}",1746.0
LNSD-906,breast-cancer,simple-mlp,uniform,0.0,backward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.07471369206905365,0.9736841917037964,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 112, 'hidden_size_1': 83, 'dropout': 0}",1746.0
LNSD-905,breast-cancer,simple-mlp,uniform,0.0,none,[],0.07471368461847305,0.9736841917037964,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 112, 'hidden_size_1': 83, 'dropout': 0}",1746.0
LNSD-904,breast-cancer,simple-mlp,uniform,0.0,boot-soft,[],0.06313112378120422,0.9736841917037964,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 112, 'hidden_size_1': 83, 'dropout': 0}",1746.0
LNSD-902,breast-cancer,simple-mlp,uniform,0.0,boot-hard,[],0.05414895340800285,0.9736841917037964,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 112, 'hidden_size_1': 83, 'dropout': 0}",1746.0
LNSD-901,breast-cancer,simple-mlp,uniform,0.0,forward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.07471369206905365,0.9736841917037964,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 112, 'hidden_size_1': 83, 'dropout': 0}",1746.0
LNSD-813,breast-cancer,simple-mlp,uniform,0.15,forward,"[[[0.85, 0.15], [0.15, 0.85]]]",0.2623664438724518,0.9736841917037964,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 8, 'hidden_size_1': 118, 'hidden_size_2': 80, 'dropout': 0}",42.0
LNSD-809,breast-cancer,simple-mlp,uniform,0.1,backward,"[[[0.9, 0.1], [0.1, 0.9]]]",-1.2321453094482422,0.9736841917037964,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 72, 'hidden_size_1': 13, 'hidden_size_2': 69, 'dropout': 0}",42.0
LNSD-808,breast-cancer,simple-mlp,uniform,0.1,forward,"[[[0.9, 0.1], [0.1, 0.9]]]",0.2431139051914215,0.9736841917037964,10.0,32.0,"{'num_layers': 1, 'hidden_size_0': 11, 'dropout': 0}",42.0
LNSD-805,breast-cancer,simple-mlp,uniform,0.1,none,[],0.16239435970783234,0.9736841917037964,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 11, 'hidden_size_1': 50, 'dropout': 0}",42.0
LNSD-795,breast-cancer,simple-mlp,uniform,0.0,boot-hard,[],0.05741245299577713,0.9736841917037964,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 72, 'hidden_size_1': 13, 'hidden_size_2': 69, 'dropout': 0}",42.0
LNSD-699,breast-cancer,simple-mlp,uniform,0.05,forward,"[[[0.95, 0.05], [0.05, 0.95]]]",0.1237514540553093,0.9736841917037964,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 110, 'hidden_size_1': 21, 'hidden_size_2': 19, 'dropout': 0}",62.0
LNSD-698,breast-cancer,simple-mlp,uniform,0.05,backward,"[[[0.95, 0.05], [0.05, 0.95]]]",-0.14375197887420654,0.9736841917037964,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 25, 'hidden_size_1': 44, 'hidden_size_2': 51, 'dropout': 0}",62.0
LNSD-692,breast-cancer,simple-mlp,uniform,0.05,none,[],0.17649921774864197,0.9736841917037964,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 41, 'hidden_size_1': 13, 'hidden_size_2': 21, 'dropout': 0}",62.0
LNSD-407,breast-cancer,simple-mlp,uniform,0.3,boot-hard,[],0.33769261837005615,0.9736841917037964,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 50, 'hidden_size_1': 11, 'hidden_size_2': 12, 'dropout': 0}",1147.0
LNSD-396,breast-cancer,simple-mlp,uniform,0.2,none,[],0.27209600806236267,0.9736841917037964,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 46, 'hidden_size_1': 33, 'dropout': 0}",1147.0
LNSD-387,breast-cancer,simple-mlp,uniform,0.1,boot-hard,[],0.17798252403736115,0.9736841917037964,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 70, 'hidden_size_1': 15, 'hidden_size_2': 125, 'dropout': 0}",1147.0
LNSD-386,breast-cancer,simple-mlp,uniform,0.05,backward,"[[[0.95, 0.05], [0.05, 0.95]]]",-0.11480185389518738,0.9736841917037964,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 61, 'hidden_size_1': 15, 'hidden_size_2': 28, 'dropout': 0}",1147.0
LNSD-385,breast-cancer,simple-mlp,uniform,0.1,boot-soft,[],0.22468216717243195,0.9736841917037964,10.0,32.0,"{'num_layers': 1, 'hidden_size_0': 87, 'dropout': 0}",1147.0
LNSD-384,breast-cancer,simple-mlp,uniform,0.1,none,[],0.20044834911823273,0.9736841917037964,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 44, 'hidden_size_1': 11, 'hidden_size_2': 16, 'dropout': 0}",1147.0
LNSD-382,breast-cancer,simple-mlp,uniform,0.0,boot-soft,[],0.05789589136838913,0.9736841917037964,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 124, 'hidden_size_1': 28, 'hidden_size_2': 26, 'dropout': 0}",1147.0
LNSD-379,breast-cancer,simple-mlp,uniform,0.0,boot-hard,[],0.05243012681603432,0.9736841917037964,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 33, 'hidden_size_1': 40, 'hidden_size_2': 9, 'dropout': 0}",1147.0
LNSD-658,diabetes,simple-mlp,uniform,0.0,forward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.1595078557729721,0.9711538553237915,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 52, 'hidden_size_1': 36, 'hidden_size_2': 16, 'dropout': 0}",777.0
LNSD-657,diabetes,simple-mlp,uniform,0.0,boot-hard,[],0.11587648838758469,0.9711538553237915,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 73, 'hidden_size_1': 113, 'hidden_size_2': 14, 'dropout': 0}",777.0
LNSD-352,diabetes,simple-mlp,uniform,0.1,boot-hard,[],0.1509247124195099,0.9711538553237915,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 16, 'hidden_size_1': 94, 'hidden_size_2': 19, 'dropout': 0}",147.0
LNSD-344,diabetes,simple-mlp,uniform,0.0,backward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.08020523935556412,0.9711538553237915,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 118, 'hidden_size_1': 55, 'dropout': 0}",147.0
LNSD-342,diabetes,simple-mlp,uniform,0.0,boot-hard,[],0.06179853156208992,0.9711538553237915,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 57, 'hidden_size_1': 79, 'hidden_size_2': 121, 'dropout': 0}",147.0
LNSD-1022,breast-cancer,simple-mlp,uniform,0.15,boot-hard,[],0.24220924079418182,0.9649122953414917,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 35, 'hidden_size_1': 30, 'hidden_size_2': 42, 'dropout': 0}",321.0
LNSD-1018,breast-cancer,simple-mlp,uniform,0.1,forward,"[[[0.9, 0.1], [0.1, 0.9]]]",0.22783535718917847,0.9649122953414917,10.0,32.0,"{'num_layers': 1, 'hidden_size_0': 72, 'dropout': 0}",321.0
LNSD-1013,breast-cancer,simple-mlp,uniform,0.05,forward,"[[[0.95, 0.05], [0.05, 0.95]]]",0.18330590426921844,0.9649122953414917,10.0,32.0,"{'num_layers': 1, 'hidden_size_0': 33, 'dropout': 0}",321.0
LNSD-1012,breast-cancer,simple-mlp,uniform,0.0,none,[],0.13085120916366577,0.9649122953414917,10.0,32.0,"{'num_layers': 1, 'hidden_size_0': 33, 'dropout': 0}",321.0
LNSD-1009,breast-cancer,simple-mlp,uniform,0.0,backward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.13085119426250458,0.9649122953414917,10.0,32.0,"{'num_layers': 1, 'hidden_size_0': 33, 'dropout': 0}",321.0
LNSD-1007,breast-cancer,simple-mlp,uniform,0.0,forward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.13085119426250458,0.9649122953414917,10.0,32.0,"{'num_layers': 1, 'hidden_size_0': 33, 'dropout': 0}",321.0
LNSD-1005,breast-cancer,simple-mlp,uniform,0.05,boot-soft,[],0.17250341176986694,0.9649122953414917,10.0,32.0,"{'num_layers': 1, 'hidden_size_0': 28, 'dropout': 0}",321.0
LNSD-922,breast-cancer,simple-mlp,uniform,0.2,none,[],0.2873345613479614,0.9649122953414917,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 29, 'hidden_size_1': 35, 'hidden_size_2': 27, 'dropout': 0}",1746.0
LNSD-917,breast-cancer,simple-mlp,uniform,0.15,forward,"[[[0.85, 0.15], [0.15, 0.85]]]",0.2775653004646301,0.9649122953414917,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 20, 'hidden_size_1': 12, 'hidden_size_2': 8, 'dropout': 0}",1746.0
LNSD-915,breast-cancer,simple-mlp,uniform,0.1,none,[],0.21651946008205414,0.9649122953414917,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 48, 'hidden_size_1': 13, 'hidden_size_2': 21, 'dropout': 0}",1746.0
LNSD-903,breast-cancer,simple-mlp,uniform,0.05,boot-soft,[],0.14911684393882751,0.9649122953414917,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 54, 'hidden_size_1': 121, 'dropout': 0}",1746.0
LNSD-900,breast-cancer,simple-mlp,uniform,0.05,none,[],0.1356981247663498,0.9649122953414917,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 54, 'hidden_size_1': 121, 'dropout': 0}",1746.0
LNSD-807,breast-cancer,simple-mlp,uniform,0.1,boot-hard,[],0.13413876295089722,0.9649122953414917,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 50, 'hidden_size_1': 92, 'dropout': 0}",42.0
LNSD-804,breast-cancer,simple-mlp,uniform,0.05,backward,"[[[0.95, 0.05], [0.05, 0.95]]]",-0.55132657289505,0.9649122953414917,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 72, 'hidden_size_1': 13, 'hidden_size_2': 69, 'dropout': 0}",42.0
LNSD-803,breast-cancer,simple-mlp,uniform,0.05,forward,"[[[0.95, 0.05], [0.05, 0.95]]]",0.11567463725805283,0.9649122953414917,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 72, 'hidden_size_1': 13, 'hidden_size_2': 69, 'dropout': 0}",42.0
LNSD-799,breast-cancer,simple-mlp,uniform,0.05,boot-hard,[],0.10913609713315964,0.9649122953414917,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 124, 'hidden_size_1': 112, 'dropout': 0}",42.0
LNSD-723,breast-cancer,simple-mlp,uniform,0.3,forward,"[[[0.7, 0.3], [0.3, 0.7]]]",0.43658211827278137,0.9649122953414917,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 68, 'hidden_size_1': 11, 'dropout': 0}",62.0
LNSD-713,breast-cancer,simple-mlp,uniform,0.2,forward,"[[[0.8, 0.2], [0.2, 0.8]]]",0.3041734993457794,0.9649122953414917,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 54, 'hidden_size_1': 31, 'dropout': 0}",62.0
LNSD-712,breast-cancer,simple-mlp,uniform,0.2,boot-hard,[],0.2780938446521759,0.9649122953414917,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 35, 'hidden_size_1': 9, 'dropout': 0}",62.0
LNSD-706,breast-cancer,simple-mlp,uniform,0.15,boot-soft,[],0.28110212087631226,0.9649122953414917,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 17, 'hidden_size_1': 41, 'hidden_size_2': 18, 'dropout': 0}",62.0
LNSD-705,breast-cancer,simple-mlp,uniform,0.1,backward,"[[[0.9, 0.1], [0.1, 0.9]]]",-0.8083903789520264,0.9649122953414917,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 33, 'hidden_size_1': 79, 'hidden_size_2': 72, 'dropout': 0}",62.0
LNSD-703,breast-cancer,simple-mlp,uniform,0.15,none,[],0.24771231412887573,0.9649122953414917,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 35, 'hidden_size_1': 28, 'hidden_size_2': 27, 'dropout': 0}",62.0
LNSD-693,breast-cancer,simple-mlp,uniform,0.05,boot-soft,[],0.1793409138917923,0.9649122953414917,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 64, 'hidden_size_1': 20, 'hidden_size_2': 105, 'dropout': 0}",62.0
LNSD-613,breast-cancer,simple-mlp,uniform,0.25,forward,"[[[0.75, 0.25], [0.25, 0.75]]]",0.38265177607536316,0.9649122953414917,10.0,32.0,"{'num_layers': 1, 'hidden_size_0': 117, 'dropout': 0}",777.0
LNSD-598,breast-cancer,simple-mlp,uniform,0.1,boot-soft,[],0.18332554399967194,0.9649122953414917,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 118, 'hidden_size_1': 107, 'dropout': 0}",777.0
LNSD-595,breast-cancer,simple-mlp,uniform,0.1,none,[],0.19610007107257843,0.9649122953414917,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 59, 'hidden_size_1': 67, 'dropout': 0}",777.0
LNSD-593,breast-cancer,simple-mlp,uniform,0.05,backward,"[[[0.95, 0.05], [0.05, 0.95]]]",-0.16408930718898773,0.9649122953414917,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 66, 'hidden_size_1': 63, 'dropout': 0}",777.0
LNSD-592,breast-cancer,simple-mlp,uniform,0.0,backward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.0962253212928772,0.9649122953414917,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 59, 'hidden_size_1': 67, 'dropout': 0}",777.0
LNSD-591,breast-cancer,simple-mlp,uniform,0.0,boot-hard,[],0.08006320893764496,0.9649122953414917,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 52, 'hidden_size_1': 36, 'hidden_size_2': 16, 'dropout': 0}",777.0
LNSD-588,breast-cancer,simple-mlp,uniform,0.0,forward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.0962253212928772,0.9649122953414917,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 59, 'hidden_size_1': 67, 'dropout': 0}",777.0
LNSD-586,breast-cancer,simple-mlp,uniform,0.0,none,[],0.0962253212928772,0.9649122953414917,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 59, 'hidden_size_1': 67, 'dropout': 0}",777.0
LNSD-492,breast-cancer,simple-mlp,uniform,0.1,boot-hard,[],0.16556748747825623,0.9649122953414917,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 114, 'hidden_size_1': 90, 'hidden_size_2': 21, 'dropout': 0}",1234.0
LNSD-489,breast-cancer,simple-mlp,uniform,0.05,backward,"[[[0.95, 0.05], [0.05, 0.95]]]",-0.2478451281785965,0.9649122953414917,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 114, 'hidden_size_1': 90, 'hidden_size_2': 21, 'dropout': 0}",1234.0
LNSD-486,breast-cancer,simple-mlp,uniform,0.0,boot-hard,[],0.16116422414779663,0.9649122953414917,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 77, 'hidden_size_1': 43, 'hidden_size_2': 67, 'dropout': 0}",1234.0
LNSD-405,breast-cancer,simple-mlp,uniform,0.3,none,[],0.4346848130226135,0.9649122953414917,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 24, 'hidden_size_1': 20, 'dropout': 0}",1147.0
LNSD-404,breast-cancer,simple-mlp,uniform,0.25,backward,"[[[0.75, 0.25], [0.25, 0.75]]]",-1.1137721538543701,0.9649122953414917,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 8, 'hidden_size_1': 20, 'hidden_size_2': 37, 'dropout': 0}",1147.0
LNSD-398,breast-cancer,simple-mlp,uniform,0.2,forward,"[[[0.8, 0.2], [0.2, 0.8]]]",0.2990624010562897,0.9649122953414917,10.0,32.0,"{'num_layers': 1, 'hidden_size_0': 44, 'dropout': 0}",1147.0
LNSD-395,breast-cancer,simple-mlp,uniform,0.2,boot-soft,[],0.2648782432079315,0.9649122953414917,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 46, 'hidden_size_1': 33, 'dropout': 0}",1147.0
LNSD-376,breast-cancer,simple-mlp,uniform,0.05,boot-hard,[],0.12089422345161438,0.9649122953414917,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 31, 'hidden_size_1': 19, 'hidden_size_2': 78, 'dropout': 0}",1147.0
LNSD-277,breast-cancer,simple-mlp,uniform,0.0,boot-soft,[],0.12455955892801285,0.9649122953414917,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 9, 'hidden_size_1': 30, 'hidden_size_2': 38, 'dropout': 0}",147.0
