ID,dataset,model,noise,noise-args,robust-method,loss-args,eval_loss,eval_accuracy,epochs,batch_size,best-hyperparameters,seed
LNSD-341,diabetes,simple-mlp,uniform,0.0,boot-soft,[],0.052478134632110596,1.0,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 37, 'hidden_size_1': 125, 'hidden_size_2': 124, 'dropout': 0}",147.0
LNSD-1006,breast-cancer,simple-mlp,uniform,0.0,boot-hard,[],0.11020495742559433,0.9912280440330505,10.0,32.0,"{'num_layers': 1, 'hidden_size_0': 33, 'dropout': 0}",321.0
LNSD-910,breast-cancer,simple-mlp,uniform,0.15,none,[],0.2198188453912735,0.9912280440330505,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 127, 'hidden_size_1': 52, 'hidden_size_2': 96, 'dropout': 0}",1746.0
LNSD-390,breast-cancer,simple-mlp,uniform,0.15,none,[],0.24468107521533966,0.9912280440330505,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 8, 'hidden_size_1': 20, 'hidden_size_2': 37, 'dropout': 0}",1147.0
LNSD-388,breast-cancer,simple-mlp,uniform,0.1,forward,"[[[0.9, 0.1], [0.1, 0.9]]]",0.16118648648262024,0.9912280440330505,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 54, 'hidden_size_1': 76, 'dropout': 0}",1147.0
LNSD-383,breast-cancer,simple-mlp,uniform,0.05,forward,"[[[0.95, 0.05], [0.05, 0.95]]]",0.13576921820640564,0.9912280440330505,10.0,32.0,"{'num_layers': 1, 'hidden_size_0': 88, 'dropout': 0}",1147.0
LNSD-345,diabetes,simple-mlp,uniform,0.05,none,[],0.11116822808980942,0.9903846383094788,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 65, 'hidden_size_1': 79, 'hidden_size_2': 76, 'dropout': 0}",147.0
LNSD-343,diabetes,simple-mlp,uniform,0.0,forward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.05560363084077835,0.9903846383094788,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 55, 'hidden_size_1': 82, 'hidden_size_2': 18, 'dropout': 0}",147.0
LNSD-1028,breast-cancer,simple-mlp,uniform,0.2,forward,"[[[0.8, 0.2], [0.2, 0.8]]]",0.32911181449890137,0.9824561476707458,10.0,32.0,"{'num_layers': 1, 'hidden_size_0': 66, 'dropout': 0}",321.0
LNSD-914,breast-cancer,simple-mlp,uniform,0.05,forward,"[[[0.95, 0.05], [0.05, 0.95]]]",0.1282452642917633,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 68, 'hidden_size_1': 44, 'hidden_size_2': 36, 'dropout': 0}",1746.0
LNSD-913,breast-cancer,simple-mlp,uniform,0.1,forward,"[[[0.9, 0.1], [0.1, 0.9]]]",0.1765124797821045,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 68, 'hidden_size_1': 44, 'hidden_size_2': 36, 'dropout': 0}",1746.0
LNSD-909,breast-cancer,simple-mlp,uniform,0.1,boot-hard,[],0.15467412769794464,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 118, 'hidden_size_1': 8, 'hidden_size_2': 108, 'dropout': 0}",1746.0
LNSD-907,breast-cancer,simple-mlp,uniform,0.05,boot-hard,[],0.09829479455947876,0.9824561476707458,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 103, 'hidden_size_1': 75, 'dropout': 0}",1746.0
LNSD-814,breast-cancer,simple-mlp,uniform,0.15,backward,"[[[0.85, 0.15], [0.15, 0.85]]]",-0.2307705283164978,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 14, 'hidden_size_1': 12, 'hidden_size_2': 9, 'dropout': 0}",42.0
LNSD-800,breast-cancer,simple-mlp,uniform,0.0,none,[],0.0535857230424881,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 72, 'hidden_size_1': 13, 'hidden_size_2': 69, 'dropout': 0}",42.0
LNSD-798,breast-cancer,simple-mlp,uniform,0.0,backward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.0535857267677784,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 72, 'hidden_size_1': 13, 'hidden_size_2': 69, 'dropout': 0}",42.0
LNSD-797,breast-cancer,simple-mlp,uniform,0.0,boot-soft,[],0.05337115749716759,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 72, 'hidden_size_1': 13, 'hidden_size_2': 69, 'dropout': 0}",42.0
LNSD-796,breast-cancer,simple-mlp,uniform,0.0,forward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.0535857267677784,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 72, 'hidden_size_1': 13, 'hidden_size_2': 69, 'dropout': 0}",42.0
LNSD-704,breast-cancer,simple-mlp,uniform,0.1,boot-hard,[],0.16382978856563568,0.9824561476707458,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 36, 'hidden_size_1': 27, 'dropout': 0}",62.0
LNSD-702,breast-cancer,simple-mlp,uniform,0.1,forward,"[[[0.9, 0.1], [0.1, 0.9]]]",0.1741146594285965,0.9824561476707458,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 80, 'hidden_size_1': 11, 'dropout': 0}",62.0
LNSD-701,breast-cancer,simple-mlp,uniform,0.1,boot-soft,[],0.19948090612888336,0.9824561476707458,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 45, 'hidden_size_1': 22, 'dropout': 0}",62.0
LNSD-700,breast-cancer,simple-mlp,uniform,0.1,none,[],0.16280706226825714,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 96, 'hidden_size_1': 8, 'hidden_size_2': 14, 'dropout': 0}",62.0
LNSD-696,breast-cancer,simple-mlp,uniform,0.0,boot-hard,[],0.04504545405507088,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 22, 'hidden_size_1': 55, 'hidden_size_2': 30, 'dropout': 0}",62.0
LNSD-695,breast-cancer,simple-mlp,uniform,0.0,backward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.06364929676055908,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 71, 'hidden_size_1': 18, 'hidden_size_2': 92, 'dropout': 0}",62.0
LNSD-694,breast-cancer,simple-mlp,uniform,0.0,boot-soft,[],0.05456271395087242,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 126, 'hidden_size_1': 78, 'hidden_size_2': 48, 'dropout': 0}",62.0
LNSD-691,breast-cancer,simple-mlp,uniform,0.0,forward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.06364929676055908,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 71, 'hidden_size_1': 18, 'hidden_size_2': 92, 'dropout': 0}",62.0
LNSD-690,breast-cancer,simple-mlp,uniform,0.0,none,[],0.06364930421113968,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 71, 'hidden_size_1': 18, 'hidden_size_2': 92, 'dropout': 0}",62.0
LNSD-393,breast-cancer,simple-mlp,uniform,0.15,forward,"[[[0.85, 0.15], [0.15, 0.85]]]",0.2561224699020386,0.9824561476707458,10.0,32.0,"{'num_layers': 1, 'hidden_size_0': 70, 'dropout': 0}",1147.0
LNSD-392,breast-cancer,simple-mlp,uniform,0.15,boot-hard,[],0.1932375431060791,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 50, 'hidden_size_1': 11, 'hidden_size_2': 12, 'dropout': 0}",1147.0
LNSD-381,breast-cancer,simple-mlp,uniform,0.0,none,[],0.049162279814481735,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 124, 'hidden_size_1': 28, 'hidden_size_2': 26, 'dropout': 0}",1147.0
LNSD-380,breast-cancer,simple-mlp,uniform,0.0,forward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.04916227236390114,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 124, 'hidden_size_1': 28, 'hidden_size_2': 26, 'dropout': 0}",1147.0
LNSD-377,breast-cancer,simple-mlp,uniform,0.0,backward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.04916227236390114,0.9824561476707458,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 124, 'hidden_size_1': 28, 'hidden_size_2': 26, 'dropout': 0}",1147.0
LNSD-867,diabetes,simple-mlp,uniform,0.0,boot-hard,[],0.07106426358222961,0.9807692170143127,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 74, 'hidden_size_1': 123, 'hidden_size_2': 86, 'dropout': 0}",42.0
LNSD-361,diabetes,simple-mlp,uniform,0.2,backward,"[[[0.8, 0.2], [0.2, 0.8]]]",-1.2128866910934448,0.9807692170143127,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 101, 'hidden_size_1': 76, 'hidden_size_2': 8, 'dropout': 0}",147.0
LNSD-355,diabetes,simple-mlp,uniform,0.15,none,[],0.311216801404953,0.9807692170143127,10.0,32.0,"{'num_layers': 1, 'hidden_size_0': 77, 'dropout': 0}",147.0
LNSD-354,diabetes,simple-mlp,uniform,0.1,backward,"[[[0.9, 0.1], [0.1, 0.9]]]",-0.4792243540287018,0.9807692170143127,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 101, 'hidden_size_1': 76, 'hidden_size_2': 8, 'dropout': 0}",147.0
LNSD-347,diabetes,simple-mlp,uniform,0.05,boot-hard,[],0.08754650503396988,0.9807692170143127,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 115, 'hidden_size_1': 84, 'hidden_size_2': 43, 'dropout': 0}",147.0
LNSD-340,diabetes,simple-mlp,uniform,0.0,none,[],0.06911545246839523,0.9807692170143127,10.0,32.0,"{'num_layers': 3, 'hidden_size_0': 37, 'hidden_size_1': 125, 'hidden_size_2': 124, 'dropout': 0}",147.0
LNSD-1023,breast-cancer,simple-mlp,uniform,0.15,forward,"[[[0.85, 0.15], [0.15, 0.85]]]",0.2676452398300171,0.9736841917037964,10.0,32.0,"{'num_layers': 2, 'hidden_size_0': 87, 'hidden_size_1': 21, 'dropout': 0}",321.0
