ID,dataset,model,noise,noise-args,robust-method,loss-args,eval_loss,eval_accuracy,epochs,batch_size,best-hyperparameters,seed
LNSD-69,breast-cancer,simple-mlp,uniform,0,forward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.09175404161,0.9561403394,10,32,"{'num_layers': 3, 'hidden_size_0': 64, 'hidden_size_1': 92, 'hidden_size_2': 23, 'dropout': 0.06944332285728046}",777
LNSD-34,breast-cancer,simple-mlp,uniform,0.05,forward,"[[[0.95, 0.05], [0.05, 0.95]]]",0.1503432244,0.9649122953,10,32,"{'num_layers': 3, 'hidden_size_0': 64, 'hidden_size_1': 92, 'hidden_size_2': 23, 'dropout': 0.06944332285728046}",777
LNSD-39,breast-cancer,simple-mlp,uniform,0.1,forward,"[[[0.9, 0.1], [0.1, 0.9]]]",0.2156630903,0.947368443,10,32,"{'num_layers': 2, 'hidden_size_0': 124, 'hidden_size_1': 22, 'dropout': 0.0003240188799860604}",777
LNSD-44,breast-cancer,simple-mlp,uniform,0.15,forward,"[[[0.85, 0.15], [0.15, 0.85]]]",0.2458640784,0.938596487,10,32,"{'num_layers': 3, 'hidden_size_0': 76, 'hidden_size_1': 14, 'hidden_size_2': 33, 'dropout': 0.10369916382442693}",777
LNSD-49,breast-cancer,simple-mlp,uniform,0.2,forward,"[[[0.8, 0.2], [0.2, 0.8]]]",0.3117427826,0.938596487,10,32,"{'num_layers': 3, 'hidden_size_0': 111, 'hidden_size_1': 58, 'hidden_size_2': 8, 'dropout': 0.0858218099981087}",777
LNSD-54,breast-cancer,simple-mlp,uniform,0.25,forward,"[[[0.75, 0.25], [0.25, 0.75]]]",0.4082014263,0.947368443,10,32,"{'num_layers': 3, 'hidden_size_0': 76, 'hidden_size_1': 14, 'hidden_size_2': 33, 'dropout': 0.10369916382442693}",777
LNSD-59,breast-cancer,simple-mlp,uniform,0.3,forward,"[[[0.7, 0.3], [0.3, 0.7]]]",0.5961301327,0.8859649301,10,32,"{'num_layers': 3, 'hidden_size_0': 14, 'hidden_size_1': 9, 'hidden_size_2': 9, 'dropout': 0.12097922143329726}",777
LNSD-63,breast-cancer,simple-mlp,uniform,0,none,[],0.0984281823,0.9649122953,10,32,"{'num_layers': 3, 'hidden_size_0': 76, 'hidden_size_1': 14, 'hidden_size_2': 33, 'dropout': 0.10369916382442693}",777
LNSD-31,breast-cancer,simple-mlp,uniform,0.05,none,[],0.1423441172,0.9736841917,10,32,"{'num_layers': 3, 'hidden_size_0': 64, 'hidden_size_1': 92, 'hidden_size_2': 23, 'dropout': 0.06944332285728046}",777
LNSD-36,breast-cancer,simple-mlp,uniform,0.1,none,[],0.2314273119,0.947368443,10,32,"{'num_layers': 3, 'hidden_size_0': 110, 'hidden_size_1': 9, 'hidden_size_2': 8, 'dropout': 0.09102775517350237}",777
